,,,ChangCTLvsMDD_ACC_Female,ChangCTLvsMDD_ACC_Male,ChangCTLvsMDD_DLPFC_Female,ChangCTLvsMDD_DLPFC_Male,female_ancg_dge,female_dlpfc_dge,female_nacc_dge,male_ancg_dge,male_dlpfc_dge,male_nAcc_dge
VITAMIN D METABOLIC PROCESS,GOBP,GO:0042359,0,0,0,0,0,0,0,0,1.493228863,0
PURINE NUCLEOSIDE MONOPHOSPHATE CATABOLIC PROCESS,GOBP,GO:0009128,0,0,0,0,0,0,0,2.106185383,0,0
SOMATIC DIVERSIFICATION OF IMMUNOGLOBULINS,GOBP,GO:0016445,0,1.306130872,0,0,0,0,0,0,0,0
MYELOID LEUKOCYTE MIGRATION,GOBP,GO:0097529,0,0,0,0,0,0,2.190165667,0,0,0
GLYCOSAMINOGLYCAN METABOLIC PROCESS,GOBP,GO:0030203,0,0,0,0,0,0,1.899141823,0,0,0
PEPTIDYL-L-CYSTEINE S-PALMITOYLATION,GOBP,GO:0018230,0,0,3.130348071,0,0,0,0,0,0,0
SENSORY SYSTEM DEVELOPMENT,GOBP,GO:0048880,2.531777649,0,0,0,0,0,0,0,0,0
INTERLEUKIN-27-MEDIATED SIGNALING PATHWAY,GOBP,GO:0070106,0,0,1.495487512,0,0,0,0,0,0,0
INTERMEDIATE FILAMENT CYTOSKELETON ORGANIZATION,GOBP,GO:0045104,1.541812935,0,0,0,0,0,0,0,0,0
RESPONSE TO LAMINAR FLUID SHEAR STRESS,GOBP,GO:0034616,0,0,0,0,0,0,0,1.417734802,0,0
PEPTIDYL-PROLINE HYDROXYLATION TO 4-HYDROXY-L-PROLINE,GOBP,GO:0018401,0,0,0,0,0,0,0,1.569059313,0,0
MEIOTIC NUCLEAR DIVISION,GOBP,GO:0140013,0,0,0,0,0,3.363729598,0,0,0,0
NEGATIVE REGULATION OF CALCIUM-MEDIATED SIGNALING,GOBP,GO:0050849,0,0,0,0,1.491294567,0,0,0,0,0
POSITIVE REGULATION OF CELL-SUBSTRATE ADHESION,GOBP,GO:0010811,0,0,0,0,0,1.365068176,0,0,0,0
ORGANELLE FUSION,GOBP,GO:0048284,0,0,2.619001879,0,0,0,0,0,0,0
PROTEIN LOCALIZATION TO LYSOSOME,GOBP,GO:0061462,0,0,1.807524338,0,0,0,0,0,0,0
NOTOCHORD DEVELOPMENT,GOBP,GO:0030903,0,0,0,0,0,0,0,0,0,2.175848267
NUCLEOSIDE MONOPHOSPHATE CATABOLIC PROCESS,GOBP,GO:0009125,0,0,0,0,0,0,0,1.61541563,0,0
NEGATIVE REGULATION OF LIPID CATABOLIC PROCESS,GOBP,GO:0050995,1.658721682,0,0,0,0,0,0,0,0,0
REGULATION OF BONE RESORPTION,GOBP,GO:0045124,0,0,0,0,0,0,1.556311179,0,0,0
FOLIC ACID METABOLIC PROCESS,GOBP,GO:0046655,0,0,0,0,0,0,0,0,1.313792885,0
POSTTRANSCRIPTIONAL GENE SILENCING BY RNA,GOBP,GO:0035194,0,0,1.304889462,0,0,0,0,0,0,0
POSITIVE REGULATION OF BROWN FAT CELL DIFFERENTIATION,GOBP,GO:0090336,0,0,0,0,0,0,0,0,1.493228863,0
NUCLEOSIDE MONOPHOSPHATE BIOSYNTHETIC PROCESS,GOBP,GO:0009124,0,0,0,0,0,0,0,1.457334368,0,0
POSITIVE REGULATION OF PHOSPHOLIPASE C ACTIVITY,GOBP,GO:0010863,0,0,0,0,0,0,0,0,0,1.724722661
DECIDUALIZATION,GOBP,GO:0046697,0,0,0,0,0,0,0,0,2.293915432,0
POSITIVE REGULATION OF SMOOTH MUSCLE CELL MIGRATION,GOBP,GO:0014911,0,0,0,2.205402942,0,0,0,0,0,0
NEGATIVE REGULATION OF AUTOPHAGY,GOBP,GO:0010507,0,0,1.357229779,0,0,0,0,0,0,0
NUCLEOSIDE PHOSPHATE CATABOLIC PROCESS,GOBP,GO:1901292,0,0,0,0,0,0,0,1.814726868,0,0
COLUMNAR/CUBOIDAL EPITHELIAL CELL DEVELOPMENT,GOBP,GO:0002066,0,0,0,0,0,0,2.469530956,0,0,0
PROLINE TRANSPORT,GOBP,GO:0015824,0,1.604723351,0,0,0,0,0,0,0,0
NEGATIVE REGULATION OF LYMPHOCYTE MIGRATION,GOBP,GO:2000402,1.356027339,0,0,0,0,0,0,0,0,0
OVARIAN FOLLICLE DEVELOPMENT,GOBP,GO:0001541,0,0,0,0,0,0,0,1.376583929,0,0
CELLULAR RESPONSE TO GROWTH HORMONE STIMULUS,GOBP,GO:0071378,0,0,2.582883855,0,0,0,0,0,0,0
REGULATION OF T CELL ACTIVATION,GOBP,GO:0050863,0,0,0,0,0,0,1.360401801,0,0,0
NEGATIVE REGULATION OF CYTOSOLIC CALCIUM ION CONCENTRATION,GOBP,GO:0051481,0,2.64897746,0,0,0,0,0,0,0,0
NEGATIVE REGULATION OF LIPID TRANSPORT,GOBP,GO:0032369,1.569726338,0,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF CELL-MATRIX ADHESION,GOBP,GO:0001954,1.354763259,0,0,0,0,0,0,0,0,0
HIPPOCAMPUS DEVELOPMENT,GOBP,GO:0021766,0,0,1.615204396,0,0,0,0,0,0,0
POSITIVE REGULATION OF INNATE IMMUNE RESPONSE,GOBP,GO:0045089,0,0,0,0,0,0,0,0,0,1.733918143
OVULATION CYCLE,GOBP,GO:0042698,0,0,0,2.838363293,0,0,0,0,0,0
POSITIVE REGULATION OF T CELL DIFFERENTIATION,GOBP,GO:0045582,0,0,0,0,1.30896973,0,0,0,0,0
POSITIVE REGULATION OF CARTILAGE DEVELOPMENT,GOBP,GO:0061036,1.488444467,0,0,0,0,0,0,0,0,0
CELL-SUBSTRATE ADHESION,GOBP,GO:0031589,0,0,0,0,0,1.519377891,0,0,0,0
NEGATIVE REGULATION OF TRANSFORMING GROWTH FACTOR BETA RECEPTOR SIGNALING PATHWAY,GOBP,GO:0030512,0,0,0,0,0,0,0,1.703310236,0,0
ORGANOPHOSPHATE CATABOLIC PROCESS,GOBP,GO:0046434,0,0,0,0,0,0,0,2.395309731,0,0
ENDODERM DEVELOPMENT,GOBP,GO:0007492,0,0,0,1.807203095,0,0,0,0,0,0
TRANSFERRIN TRANSPORT,GOBP,GO:0033572,0,0,0,0,0,0,0,1.84510222,0,0
NEGATIVE REGULATION OF COLD-INDUCED THERMOGENESIS,GOBP,GO:0120163,0,0,0,0,0,1.442257033,0,0,0,0
DOPAMINE TRANSPORT,GOBP,GO:0015872,0,1.452757058,0,0,0,0,0,0,0,0
REGULATION OF EXCRETION,GOBP,GO:0044062,0,1.767884068,0,0,0,0,0,0,0,0
REGULATION OF VESICLE FUSION,GOBP,GO:0031338,0,0,2.018630125,0,0,0,0,0,0,0
REGULATION OF SKELETAL MUSCLE SATELLITE CELL PROLIFERATION,GOBP,GO:0014842,0,0,1.765009967,0,0,0,0,0,0,0
NEGATIVE REGULATION OF CALCIUM ION-DEPENDENT EXOCYTOSIS,GOBP,GO:0045955,0,0,0,0,0,0,0,1.489421267,0,0
SOMATIC DIVERSIFICATION OF IMMUNOGLOBULINS INVOLVED IN IMMUNE RESPONSE,GOBP,GO:0002208,0,0,0,0,0,0,0,0,1.443917037,0
RESPONSE TO FLUID SHEAR STRESS,GOBP,GO:0034405,0,0,1.953442859,0,0,0,0,0,0,0
DRUG TRANSMEMBRANE TRANSPORT,GOBP,GO:0006855,1.591198686,0,0,0,0,0,0,0,0,0
STRESS FIBER ASSEMBLY,GOBP,GO:0043149,0,0,2.906911743,0,0,0,0,0,0,0
DNA MODIFICATION,GOBP,GO:0006304,0,0,0,0,0,1.572102294,0,0,0,0
POSITIVE REGULATION OF MONONUCLEAR CELL MIGRATION,GOBP,GO:0071677,0,0,0,0,0,1.959576145,0,0,0,0
REGULATION OF CATION TRANSMEMBRANE TRANSPORT,GOBP,GO:1904062,0,0,2.707732215,0,0,0,0,0,0,0
REGULATION OF HEART CONTRACTION,GOBP,GO:0008016,0,0,0,0,0,0,0,0,1.639205787,0
NEGATIVE REGULATION OF NEURON APOPTOTIC PROCESS,GOBP,GO:0043524,0,0,0,0,0,0,0,0,0,1.442806501
ENDOCHONDRAL BONE MORPHOGENESIS,GOBP,GO:0060350,2.07705769,0,0,0,0,0,0,0,0,0
PHOSPHATIDYLINOSITOL 3-KINASE SIGNALING,GOBP,GO:0014065,0,0,0,0,1.350610935,0,0,0,0,0
ORGANIC ANION TRANSPORT,GOBP,GO:0015711,2.267850313,0,0,0,0,0,0,0,0,0
GLYCOSYL COMPOUND BIOSYNTHETIC PROCESS,GOBP,GO:1901659,0,0,0,0,0,0,0,1.46123358,0,0
REGULATION OF TRANSCRIPTION BY RNA POLYMERASE I,GOBP,GO:0006356,0,0,0,0,0,0,0,0,0,2.158964498
CELLULAR RESPONSE TO MISFOLDED PROTEIN,GOBP,GO:0071218,0,0,0,0,0,0,0,0,0,1.804828149
CELLULAR RESPONSE TO LEUCINE,GOBP,GO:0071233,0,0,3.06843928,0,0,0,0,0,0,0
CELLULAR RESPONSE TO X-RAY,GOBP,GO:0071481,0,1.604723351,0,0,0,0,0,0,0,0
PROTEIN ALKYLATION,GOBP,GO:0008213,0,0,0,0,0,0,0,1.683305167,0,0
LOW-DENSITY LIPOPROTEIN PARTICLE REMODELING,GOBP,GO:0034374,0,0,0,0,0,2.288726297,0,0,0,0
MITOTIC SPINDLE CHECKPOINT,GOBP,GO:0071174,0,0,0,0,0,3.333784143,0,0,0,0
REGULATION OF DOUBLE-STRAND BREAK REPAIR,GOBP,GO:2000779,0,0,0,1.487225729,0,0,0,0,0,0
POSITIVE REGULATION OF TELOMERASE RNA LOCALIZATION TO CAJAL BODY,GOBP,GO:1904874,0,0,0,0,0,0,0,0,0,1.333328668
SYNAPTIC SIGNALING,GOBP,GO:0099536,0,0,1.740520754,0,0,0,0,0,0,0
REGULATION OF LEUKOCYTE ADHESION TO VASCULAR ENDOTHELIAL CELL,GOBP,GO:1904994,0,0,0,0,0,1.894989206,0,0,0,0
FATTY ACID CATABOLIC PROCESS,GOBP,GO:0009062,0,0,0,0,0,1.629052631,0,0,0,0
CEREBRAL CORTEX NEURON DIFFERENTIATION,GOBP,GO:0021895,0,2.856879109,0,0,0,0,0,0,0,0
CALCIUM ION TRANSMEMBRANE TRANSPORT,GOBP,GO:0070588,0,2.187327764,0,0,0,0,0,0,0,0
T CELL DIFFERENTIATION,GOBP,GO:0030217,0,0,0,0,1.444463942,0,0,0,0,0
CELLULAR RESPONSE TO AMMONIUM ION,GOBP,GO:0071242,0,0,1.746914147,0,0,0,0,0,0,0
DOUBLE-STRAND BREAK REPAIR,GOBP,GO:0006302,0,0,0,0,0,0,0,1.358676865,0,0
CELLULAR RESPONSE TO EXOGENOUS DSRNA,GOBP,GO:0071360,0,0,0,0,1.940582682,0,0,0,0,0
NEUROBLAST PROLIFERATION,GOBP,GO:0007405,0,0,0,0,0,0,0,0,1.969964176,0
NEGATIVE REGULATION OF PROTEIN SECRETION,GOBP,GO:0050709,0,0,0,0,0,0,0,2.316219683,0,0
REGULATION OF RECEPTOR CLUSTERING,GOBP,GO:1903909,1.481727122,0,0,0,0,0,0,0,0,0
REGULATION OF CELLULAR AMINE METABOLIC PROCESS,GOBP,GO:0033238,0,0,0,0,0,0,0,1.776649544,0,0
TRANSPORT ALONG MICROTUBULE,GOBP,GO:0010970,1.492075073,0,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF STEROID METABOLIC PROCESS,GOBP,GO:0045940,1.528193973,0,0,0,0,0,0,0,0,0
OLIGODENDROCYTE DEVELOPMENT,GOBP,GO:0014003,1.733071932,0,0,0,0,0,0,0,0,0
REGULATION OF LIPID TRANSPORT,GOBP,GO:0032368,1.533729616,0,0,0,0,0,0,0,0,0
INTERACTION WITH SYMBIONT,GOBP,GO:0051702,0,0,0,0,0,0,0,1.567632777,0,0
HEART FORMATION,GOBP,GO:0060914,0,0,0,1.376165376,0,0,0,0,0,0
NEURON PROJECTION GUIDANCE,GOBP,GO:0097485,0,0,0,2.41947949,0,0,0,0,0,0
REGULATION OF PHOSPHOLIPID TRANSPORT,GOBP,GO:2001138,0,1.387365162,0,0,0,0,0,0,0,0
RESPONSE TO CATECHOLAMINE,GOBP,GO:0071869,0,0,1.523804813,0,0,0,0,0,0,0
CELL DIFFERENTIATION INVOLVED IN EMBRYONIC PLACENTA DEVELOPMENT,GOBP,GO:0060706,0,0,0,0,0,1.959576145,0,0,0,0
HISTONE ACETYLATION,GOBP,GO:0016573,0,0,0,2.215928737,0,0,0,0,0,0
MUSCLE CELL DIFFERENTIATION,GOBP,GO:0042692,1.586557185,0,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF SMOOTH MUSCLE CELL PROLIFERATION,GOBP,GO:0048661,1.328103757,0,0,0,0,0,0,0,0,0
REGULATION OF PINOCYTOSIS,GOBP,GO:0048548,0,0,0,0,0,0,0,1.417734802,0,0
REGULATION OF ION TRANSMEMBRANE TRANSPORT,GOBP,GO:0034765,0,0,2.215070202,0,0,0,0,0,0,0
REGULATION OF CAMP-DEPENDENT PROTEIN KINASE ACTIVITY,GOBP,GO:2000479,0,0,1.870486737,0,0,0,0,0,0,0
RIBOSOMAL SMALL SUBUNIT ASSEMBLY,GOBP,GO:0000028,0,0,0,0,0,0,0,0,0,4.001228811
JAK-STAT CASCADE,GOBP,GO:0007259,0,0,1.672967837,0,0,0,0,0,0,0
MUSCULOSKELETAL MOVEMENT,GOBP,GO:0050881,0,0,0,0,0,0,1.574862767,0,0,0
PROSTAGLANDIN BIOSYNTHETIC PROCESS,GOBP,GO:0001516,0,0,0,0,0,0,0,0,1.313792885,0
REGULATION OF GLIAL CELL MIGRATION,GOBP,GO:1903975,0,0,1.351489056,0,0,0,0,0,0,0
KIDNEY DEVELOPMENT,GOBP,GO:0001822,0,0,0,0,0,0,0,0,1.662705787,0
REGULATION OF VIRAL LIFE CYCLE,GOBP,GO:1903900,0,0,0,0,0,0,0,1.573297298,0,0
NEGATIVE REGULATION OF CELL ACTIVATION,GOBP,GO:0050866,0,0,0,0,0,0,0,0,1.600781794,0
DEVELOPMENTAL PIGMENTATION,GOBP,GO:0048066,0,1.828369265,0,0,0,0,0,0,0,0
GLYCOPROTEIN METABOLIC PROCESS,GOBP,GO:0009100,2.704787663,0,0,0,0,0,0,0,0,0
REGULATION OF RNA POLYMERASE II REGULATORY REGION SEQUENCE-SPECIFIC DNA BINDING,GOBP,GO:1903025,0,0,0,0,0,0,0,0,0,2.522013564
REGULATION OF POSTSYNAPTIC MEMBRANE ORGANIZATION,GOBP,GO:1901626,1.356027339,0,0,0,0,0,0,0,0,0
PROTEIN DEGLYCOSYLATION,GOBP,GO:0006517,0,1.339616982,0,0,0,0,0,0,0,0
RETINAL METABOLIC PROCESS,GOBP,GO:0042574,0,0,0,1.428309154,0,0,0,0,0,0
REGULATION OF VASCULAR SMOOTH MUSCLE CELL DIFFERENTIATION,GOBP,GO:1905063,0,0,0,0,0,0,0,0,0,2.335375253
SELECTIVE AUTOPHAGY,GOBP,GO:0061912,0,0,2.134191233,0,0,0,0,0,0,0
POSITIVE REGULATION OF TRANSCRIPTION BY RNA POLYMERASE III,GOBP,GO:0045945,0,0,1.874509845,0,0,0,0,0,0,0
CELL PROLIFERATION IN FOREBRAIN,GOBP,GO:0021846,0,0,0,0,0,1.959576145,0,0,0,0
LIPOSACCHARIDE METABOLIC PROCESS,GOBP,GO:1903509,0,0,1.430442592,0,0,0,0,0,0,0
LEUKOCYTE ADHESION TO VASCULAR ENDOTHELIAL CELL,GOBP,GO:0061756,0,0,0,2.056328079,0,0,0,0,0,0
REGULATION OF PHAGOCYTOSIS,GOBP,GO:0050764,0,0,0,0,0,0,0,1.444918395,0,0
NEGATIVE REGULATION OF DNA REPLICATION,GOBP,GO:0008156,0,0,2.306934334,0,0,0,0,0,0,0
STRIATED MUSCLE HYPERTROPHY,GOBP,GO:0014897,0,0,0,0,0,1.894989206,0,0,0,0
REGULATION OF MICROTUBULE NUCLEATION,GOBP,GO:0010968,0,0,0,0,0,0,0,0,0,1.668171877
POSITIVE REGULATION OF LYMPHOCYTE ACTIVATION,GOBP,GO:0051251,0,0,0,0,0,0,1.657140006,0,0,0
NICOTINAMIDE NUCLEOTIDE METABOLIC PROCESS,GOBP,GO:0046496,0,0,1.362863486,0,0,0,0,0,0,0
PRIMARY ALCOHOL CATABOLIC PROCESS,GOBP,GO:0034310,0,0,0,0,0,0,2.46279307,0,0,0
CELLULAR RESPONSE TO NUTRIENT,GOBP,GO:0031670,0,0,0,0,0,0,1.310549877,0,0,0
POSITIVE REGULATION OF GLUTAMATE RECEPTOR SIGNALING PATHWAY,GOBP,GO:1900451,0,0,0,0,0,0,0,0,1.546167178,0
CELLULAR ZINC ION HOMEOSTASIS,GOBP,GO:0006882,0,0,0,0,0,0,0,0,1.61984151,0
GASTRULATION,GOBP,GO:0007369,0,0,0,1.454921979,0,0,0,0,0,0
POSITIVE REGULATION OF LIPID KINASE ACTIVITY,GOBP,GO:0090218,0,0,0,0,1.350610935,0,0,0,0,0
MRNA CLEAVAGE INVOLVED IN MRNA PROCESSING,GOBP,GO:0098787,0,1.327561213,0,0,0,0,0,0,0,0
REGULATION OF RNA POLYMERASE II TRANSCRIPTIONAL PREINITIATION COMPLEX ASSEMBLY,GOBP,GO:0045898,0,0,1.666463967,0,0,0,0,0,0,0
RESPIRATORY SYSTEM DEVELOPMENT,GOBP,GO:0060541,2.284383075,0,0,0,0,0,0,0,0,0
PURINE RIBONUCLEOSIDE MONOPHOSPHATE CATABOLIC PROCESS,GOBP,GO:0009169,0,0,0,0,0,0,0,2.187901381,0,0
VENTRICULAR CARDIAC MUSCLE TISSUE MORPHOGENESIS,GOBP,GO:0055010,0,0,0,0,0,1.494847286,0,0,0,0
SUBSTRATE ADHESION-DEPENDENT CELL SPREADING,GOBP,GO:0034446,0,0,0,1.549455547,0,0,0,0,0,0
CRANIAL NERVE MORPHOGENESIS,GOBP,GO:0021602,0,2.419265629,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF PHOSPHATIDYLINOSITOL 3-KINASE ACTIVITY,GOBP,GO:0043552,0,0,0,0,1.44123403,0,0,0,0,0
RESPONSE TO SALT STRESS,GOBP,GO:0009651,0,0,0,0,0,0,0,1.717365028,0,0
VITAMIN TRANSMEMBRANE TRANSPORT,GOBP,GO:0035461,0,0,0,0,0,0,0,0,0,2.036967117
HEPATOCYTE GROWTH FACTOR RECEPTOR SIGNALING PATHWAY,GOBP,GO:0048012,0,0,0,1.61234661,0,0,0,0,0,0
NEGATIVE REGULATION OF CALCIUM ION TRANSPORT INTO CYTOSOL,GOBP,GO:0010523,0,0,0,0,1.989146739,0,0,0,0,0
POSITIVE REGULATION OF HORMONE METABOLIC PROCESS,GOBP,GO:0032352,0,0,0,0,0,0,0,0,0,2.335375253
REGULATION OF ATTACHMENT OF SPINDLE MICROTUBULES TO KINETOCHORE,GOBP,GO:0051988,0,0,0,1.545675784,0,0,0,0,0,0
DIET INDUCED THERMOGENESIS,GOBP,GO:0002024,1.634201983,0,0,0,0,0,0,0,0,0
REGULATION OF SYNCYTIUM FORMATION BY PLASMA MEMBRANE FUSION,GOBP,GO:0060142,0,0,0,0,1.634028749,0,0,0,0,0
VESICLE ORGANIZATION,GOBP,GO:0016050,0,0,1.831742788,0,0,0,0,0,0,0
REGULATION OF SPHINGOLIPID BIOSYNTHETIC PROCESS,GOBP,GO:0090153,0,0,0,0,0,0,0,0,1.397802534,0
REGULATION OF POTASSIUM ION TRANSMEMBRANE TRANSPORT,GOBP,GO:1901379,0,0,1.309672766,0,0,0,0,0,0,0
REGULATION OF DNA CATABOLIC PROCESS,GOBP,GO:1903624,0,1.524763654,0,0,0,0,0,0,0,0
CEREBELLAR CORTEX DEVELOPMENT,GOBP,GO:0021695,0,0,0,0,0,1.494847286,0,0,0,0
PHOSPHATIDYLINOSITOL BIOSYNTHETIC PROCESS,GOBP,GO:0006661,0,0,2.619001879,0,0,0,0,0,0,0
DOUBLE-STRAND BREAK REPAIR VIA BREAK-INDUCED REPLICATION,GOBP,GO:0000727,1.481727122,0,0,0,0,0,0,0,0,0
REGULATION OF NUCLEOCYTOPLASMIC TRANSPORT,GOBP,GO:0046822,0,0,2.915713193,0,0,0,0,0,0,0
SNORNA 3'-END PROCESSING,GOBP,GO:0031126,0,0,0,0,0,0,0,1.417734802,0,0
POSITIVE REGULATION OF VASCULAR ENDOTHELIAL GROWTH FACTOR PRODUCTION,GOBP,GO:0010575,0,0,0,0,0,0,0,1.480518415,0,0
NEGATIVE REGULATION OF TYROSINE PHOSPHORYLATION OF STAT PROTEIN,GOBP,GO:0042532,0,0,0,0,0,0,0,1.352661508,0,0
NEGATIVE REGULATION OF HOMOTYPIC CELL-CELL ADHESION,GOBP,GO:0034111,1.481727122,0,0,0,0,0,0,0,0,0
REGULATION OF ENDOPLASMIC RETICULUM UNFOLDED PROTEIN RESPONSE,GOBP,GO:1900101,0,0,1.326045637,0,0,0,0,0,0,0
OLIGOPEPTIDE TRANSMEMBRANE TRANSPORT,GOBP,GO:0035672,0,0,0,1.685637515,0,0,0,0,0,0
MORPHOGENESIS OF A BRANCHING STRUCTURE,GOBP,GO:0001763,0,0,0,2.251655774,0,0,0,0,0,0
DNA DUPLEX UNWINDING,GOBP,GO:0032508,0,0,1.94197812,0,0,0,0,0,0,0
SKIN MORPHOGENESIS,GOBP,GO:0043589,0,1.452757058,0,0,0,0,0,0,0,0
NEGATIVE REGULATION OF LOCOMOTION,GOBP,GO:0040013,1.571826144,0,0,0,0,0,0,0,0,0
NEURAL PRECURSOR CELL PROLIFERATION,GOBP,GO:0061351,0,0,0,0,0,1.994071908,0,0,0,0
CILIARY BASAL BODY-PLASMA MEMBRANE DOCKING,GOBP,GO:0097711,0,0,0,0,0,0,0,1.425601842,0,0
REGULATION OF PROSTAGLANDIN BIOSYNTHETIC PROCESS,GOBP,GO:0031392,0,0,0,0,2.451300042,0,0,0,0,0
POSITIVE REGULATION OF NEURAL PRECURSOR CELL PROLIFERATION,GOBP,GO:2000179,2.148698642,0,0,0,0,0,0,0,0,0
REGULATION OF MONONUCLEAR CELL MIGRATION,GOBP,GO:0071675,0,0,0,0,0,1.425553194,0,0,0,0
MONOVALENT INORGANIC CATION HOMEOSTASIS,GOBP,GO:0055067,0,0,1.332181637,0,0,0,0,0,0,0
B CELL PROLIFERATION,GOBP,GO:0042100,0,1.716499842,0,0,0,0,0,0,0,0
AMEBOIDAL-TYPE CELL MIGRATION,GOBP,GO:0001667,1.976801202,0,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF ACTIN FILAMENT DEPOLYMERIZATION,GOBP,GO:0030836,1.416082676,0,0,0,0,0,0,0,0,0
DITERPENOID METABOLIC PROCESS,GOBP,GO:0016101,0,0,0,0,0,2.226656071,0,0,0,0
CELLULAR KETONE METABOLIC PROCESS,GOBP,GO:0042180,0,0,0,0,0,0,0,0,1.385874736,0
POSITIVE REGULATION OF CYCLIN-DEPENDENT PROTEIN KINASE ACTIVITY,GOBP,GO:1904031,0,0,0,0,0,0,0,0,0,1.325490591
EPITHELIAL CELL-CELL ADHESION,GOBP,GO:0090136,0,0,0,0,0,0,0,0,1.443917037,0
SOMITE DEVELOPMENT,GOBP,GO:0061053,0,1.371566964,0,0,0,0,0,0,0,0
TELOMERE CAPPING,GOBP,GO:0016233,1.987669633,0,0,0,0,0,0,0,0,0
PROTEIN K11-LINKED UBIQUITINATION,GOBP,GO:0070979,0,0,4.343823533,0,0,0,0,0,0,0
REGULATION OF OSTEOBLAST PROLIFERATION,GOBP,GO:0033688,0,0,1.594599282,0,0,0,0,0,0,0
ORGANELLE FISSION,GOBP,GO:0048285,0,0,0,0,0,7.582467762,0,0,0,0
PROTEIN LOCALIZATION TO CYTOSKELETON,GOBP,GO:0044380,0,0,0,0,0,2.616351762,0,0,0,0
REGULATION OF MICROTUBULE POLYMERIZATION OR DEPOLYMERIZATION,GOBP,GO:0031110,0,0,1.357229779,0,0,0,0,0,0,0
DOUBLE-STRAND BREAK REPAIR VIA HOMOLOGOUS RECOMBINATION,GOBP,GO:0000724,0,0,0,0,0,0,0,1.743151403,0,0
REGULATION OF ACTIN CYTOSKELETON REORGANIZATION,GOBP,GO:2000249,0,0,0,1.336877512,0,0,0,0,0,0
FACE MORPHOGENESIS,GOBP,GO:0060325,0,0,0,0,0,0,0,0,0,2.363532172
NEGATIVE REGULATION OF CENTROSOME DUPLICATION,GOBP,GO:0010826,0,0,0,0,2.155867303,0,0,0,0,0
OLIGOPEPTIDE TRANSPORT,GOBP,GO:0006857,0,0,0,1.545675784,0,0,0,0,0,0
CELLULAR RESPONSE TO LIPOPOLYSACCHARIDE,GOBP,GO:0071222,0,0,0,0,0,0,0,1.770457466,0,0
PROGESTERONE METABOLIC PROCESS,GOBP,GO:0042448,0,0,0,1.685637515,0,0,0,0,0,0
CARDIAC SEPTUM MORPHOGENESIS,GOBP,GO:0060411,0,0,0,1.387549463,0,0,0,0,0,0
NEGATIVE REGULATION OF PEPTIDASE ACTIVITY,GOBP,GO:0010466,0,0,0,0,0,0,2.431623818,0,0,0
REGULATION OF CYTOPLASMIC TRANSLATION,GOBP,GO:2000765,0,0,0,0,0,0,0,0,0,1.534628474
RESPONSE TO ANTINEOPLASTIC AGENT,GOBP,GO:0097327,0,0,0,0,0,0,0,0,2.198205578,0
EXTRACELLULAR STRUCTURE ORGANIZATION,GOBP,GO:0043062,0,0,0,0,0,2.801779274,0,0,0,0
MRNA SPLICE SITE SELECTION,GOBP,GO:0006376,0,0,2.443305705,0,0,0,0,0,0,0
TRNA PROCESSING,GOBP,GO:0008033,0,0,1.354027552,0,0,0,0,0,0,0
NEGATIVE REGULATION OF COFACTOR METABOLIC PROCESS,GOBP,GO:0051195,0,0,0,0,0,0,0,1.717365028,0,0
NEGATIVE REGULATION OF SMOOTH MUSCLE CELL MIGRATION,GOBP,GO:0014912,0,0,0,0,0,0,0,1.61541563,0,0
REGULATION OF INOSITOL PHOSPHATE BIOSYNTHETIC PROCESS,GOBP,GO:0010919,0,0,0,0,0,0,0,0,0,1.333328668
POSITIVE REGULATION OF PROTEIN LOCALIZATION TO MEMBRANE,GOBP,GO:1905477,0,0,3.009527696,0,0,0,0,0,0,0
POSITIVE REGULATION OF CYTOSOLIC CALCIUM ION CONCENTRATION INVOLVED IN PHOSPHOLIPASE C-ACTIVATING G PROTEIN-COUPLED SIGNALING PATHWAY,GOBP,GO:0051482,2.144089425,0,0,0,0,0,0,0,0,0
EPITHELIAL CELL PROLIFERATION,GOBP,GO:0050673,1.786297147,0,0,0,0,0,0,0,0,0
RESPONSE TO INTERLEUKIN-6,GOBP,GO:0070741,0,0,0,1.394409065,0,0,0,0,0,0
REGULATION OF PROTEIN LOCALIZATION TO CELL PERIPHERY,GOBP,GO:1904375,0,0,2.323848025,0,0,0,0,0,0,0
REGULATION OF NEUROLOGICAL SYSTEM PROCESS,GOBP,GO:0031644,0,0,0,0,1.444463942,0,0,0,0,0
DNA REPLICATION-DEPENDENT NUCLEOSOME ORGANIZATION,GOBP,GO:0034723,0,0,0,0,0,0,0,1.569059313,0,0
POSITIVE REGULATION OF ADHERENS JUNCTION ORGANIZATION,GOBP,GO:1903393,0,0,1.720481234,0,0,0,0,0,0,0
LIPOPROTEIN BIOSYNTHETIC PROCESS,GOBP,GO:0042158,0,0,3.074834632,0,0,0,0,0,0,0
STRIATED MUSCLE CELL DIFFERENTIATION,GOBP,GO:0051146,1.407097244,0,0,0,0,0,0,0,0,0
ADHERENS JUNCTION ASSEMBLY,GOBP,GO:0034333,0,0,0,1.309480791,0,0,0,0,0,0
